순번,논리컬럼명,물리컬럼명,데이터,데이터 타입,기본값,제한조건,데이터 소스,컬럼설명,코드 테이블
1.0,사업자등록번호,BIZRGNO,3128134722,VARCHAR(10),,"1. 10자리여야 함.
2. 유효성 검사 통과 여부 확인.",DART,국세청 기준 사업자 등록 번호,
2.0,고유번호,UNIQNO,434003,VARCHAR(20),,"1. 6자리인지 검사
2. 유효성 검사 실패시 NULL",DART,회사의 고유 번호,
3.0,정식명칭,OFCLNM,다코,VARCHAR(100),,1. 빈 값이 아니어야 함.,DART,회사의 정식 명칭,
4.0,종목코드,ITMCD,,CHAR(6),,"1. 6자리, 영문+숫자 조합.",DART,주식 시장에서의 종목 코드,
5.0,최종변경일자,LASTCHGDT,20170630,VARCHAR(8),,1. 날짜 형식(YYYYMMDD),DART,정보의 최종 변경일,
6.0,업종코드,INDCD,25931,VARCHAR(10),,"1. 10자리 이하, 영문+숫자",DART,국세청 기준 업종 코드,
7.0,영문명칭,ENGABBR,Daco corporation,VARCHAR(50),,1. 영문 대문자+숫자,DART,회사의 영문 약칭,
8.0,약식명칭,SHTNM,다코,VARCHAR(50),,,DART,회사의 약칭,
9.0,대표자명,RPRSNTNM,김상규,VARCHAR(20),,1. 빈 값이 아니어야 함.,DART,회사의 대표자 이름,
10.0,홈페이지,HMPG,,VARCHAR(100),,1. URL 형식,DART,회사의 홈페이지 주소,
11.0,중소기업여부,SMBIZ_YN,,SMALLINT,,"1. 0,1이 아닌경우 제외",,"중소기업, 대기업 구분","0: 중소기업, 1: 대기업"
12.0,본지점여부,MAIN_BRCH_YN,,SMALLINT,,"1. 0,1이 아닌경우 제외",,"본점, 지점 구분","0: 본점, 1: 지점"
13.0,본지점일괄납부여부,MAIN_BRCH_PCKG_PYMNT_YN,,SMALLINT,,"1. 0,1이 아닌경우 제외",,본점에서 일괄납부 여부,"0: 미승인, 1: 승인"
14.0,주소,ADDR,충청남도 천안시 청당동 419-12,VARCHAR(200),,1. 빈 값이 아니어야 함.,DART,회사의 주소,
15.0,전화번호,TELNO,0415651800,VARCHAR(15),,,DART,회사의 전화번호,
16.0,팩스번호,FAXNO,0415636808,VARCHAR(15),,,DART,회사의 팩스번호,
17.0,설립일,ESTDT,19970611,VARCHAR(8),,1. 날짜 형식(YYYYMMDD),DART,회사의 설립일,
18.0,법인구분,CRPTP,0,VARCHAR(1),0.0,"1. 0(법인), 1(개인)",,법인사업자 개인사업자 구분,"0: 법인, 1: 개인"
19.0,법인등록번호,CRPTNO,1615110021778,VARCHAR(20),,1. 13자리 숫자,DART,법인 등록 번호,
20.0,사업자등록번호 유효성,BIZRGNO_VALID,1,VARCHAR(1),,,,사업자 등록 번호의 유효성 여부,"1: 정상, 0: 비정상"
21.0,공동사업자여부,CPRTN_PLCBIZ_YN,0,SMALLINT,0.0,"1. 0,1이 아닌 경우 제외",,"개별사업장, 공동사업장 구분","0: 개별사업자, 1: 공동사업자"
,,,,,,,,,
1.0,사업자등록번호,BIZRGNO,1048177488,VARCHAR(10),,"1. 10자리여야 함.
2. 유효성 검사 통과 여부 확인.",DART,국세청 기준 사업자 등록 번호,
2.0,고유번호,UNIQNO,430964,VARCHAR(20),,"1. 6자리인지 검사
2. 유효성 검사 실패시 NULL",DART,회사의 고유 번호,
3.0,정식명칭,OFCLNM,굿앤엘에스,VARCHAR(100),,1. 빈 값이 아니어야 함.,DART,회사의 정식 명칭,
